Status,Sheet #,Object Name,Odoo Module,Master/Transaction,Mandatory,SAP Service,SAP Entity,SAP API URL,SAP Records,SAP Fields,Raw File,Odoo Model,Odoo CSV File,Odoo Records,Odoo Columns,Sample Record (from SAP),Notes / Why Not Done
COMPLETED,4,Payment Terms,Accounts,Master,Yes,khcustomerinvoice,CashDiscountTermsCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/khcustomerinvoice/CashDiscountTermsCollection,513,6,khcustomerinvoice__CashDiscountTermsCollection.json,account.payment.term,account_payment_term.csv,16,2,PaymentTermsCode=1001; PaymentTermsCodeText=Payable immediately due net; FullPaymentEndDate=/Date(1548979200000)/; PaymentBaselineDate=/Date(1548979200000)/,REAL DATA: found inside CashDiscountTermsCollection on the already-imported khcustomerinvoice/khsupplierinvoice services (no new upload needed) - deduplicated code list
COMPLETED,4,Payment Terms,Accounts,Master,Yes,khsupplierinvoice,CashDiscountTermsCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/khsupplierinvoice/CashDiscountTermsCollection,458,6,khsupplierinvoice__CashDiscountTermsCollection.json,account.payment.term,account_payment_term.csv,16,2,FullPaymentEndDate=/Date(1551052800000)/; PaymentBaselineDate=/Date(1551052800000)/,REAL DATA: found inside CashDiscountTermsCollection on the already-imported khcustomerinvoice/khsupplierinvoice services (no new upload needed) - deduplicated code list
COMPLETED,5 / 17,Banks / Customers,Accounts / CRM,Master,Yes,bpm_businesspartnerdata_analytics.svc,RPBUPCSD_Q0001QueryResults,https://my345654.sapbydesign.com/sap/byd/odata/bpm_businesspartnerdata_analytics.svc/RPBUPCSD_Q0001QueryResults,44,102,bpm_businesspartnerdata_analytics.svc__RPBUPCSD_Q0001QueryResults.json,res.bank / res.partner,res_bank.csv,8,3,CCHANGE_DT=11/30/2022 12:37:30 UTC; CCITY_NAME=Salcette; CCOUNTRY_CODE=IN; CCREATED_BY=7000001,"From bank fields inside RPBUPCSD/RPBUPSPP (bpm_businesspartnerdata_analytics.svc) - 8 banks, 90 partner bank accounts confirmed"
COMPLETED,5 / 46,Banks / Vendors,Accounts / Purchase,Master,Yes,bpm_businesspartnerdata_analytics.svc,RPBUPSPP_Q0001QueryResults,https://my345654.sapbydesign.com/sap/byd/odata/bpm_businesspartnerdata_analytics.svc/RPBUPSPP_Q0001QueryResults,229,82,bpm_businesspartnerdata_analytics.svc__RPBUPSPP_Q0001QueryResults.json,res.bank / res.partner,res_bank.csv,8,3,CCHANGE_DT=12/03/2018 13:14:32 UTC; CCITY_NAME=Vijayawada; CCOUNTRY_CODE=IN; CCREATED_BY=7000000,"From bank fields inside RPBUPCSD/RPBUPSPP (bpm_businesspartnerdata_analytics.svc) - 8 banks, 90 partner bank accounts confirmed"
COMPLETED,6,Cost Centers,Accounts,Master,Optional,costcentre,CostCentreCollection,https://my345654.sapbydesign.com/sap/byd/odata/v1/costcentre/CostCentreCollection,14,8,costcentre__CostCentreCollection.json,account.analytic.account,account_analytic_account_cc.csv,14,4,MostRecentDefaultName=Danlaw Technologies India Li...; MostRecentSuperodinateCompanyID=70000; MostRecentSuperodinatePermanentEstablishmentID=71000,"14 records from standard OData v1 service costcentre, entity set CostCentreCollection. Imported as analytic accounts under the SAP Cost Centers analytic plan."
COMPLETED,9 / 51,Open Vendor Bills / Vendor Bills,Accounts / Purchase,Transaction,Yes,khsupplierinvoice,SupplierInvoiceCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/khsupplierinvoice/SupplierInvoiceCollection,458,29,khsupplierinvoice__SupplierInvoiceCollection.json,account.move,account_move_open_vendor.csv,265,7,TypeCode=817; TypeCodeText=Down Payment Request; DataOriginTypeCode=1; DataOriginTypeCodeText=Manual data entry,"REAL DATA: same khsupplierinvoice source as #51, filtered on LifeCycleStatusCode (confirmed real/populated: excludes Paid=12, Canceled=9, Voided=7) - 265/458 open"
COMPLETED,9 / 51,Open Vendor Bills / Vendor Bills,Accounts / Purchase,Transaction,Yes,khsupplierinvoice,ItemCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/khsupplierinvoice/ItemCollection,1581,32,khsupplierinvoice__ItemCollection.json,account.move,account_move_open_vendor.csv,265,7,TypeCode=80; TypeCodeText=Down Payment Request Item; Description=Down payment; Quantity=1.00000000000000,"REAL DATA: same khsupplierinvoice source as #51, filtered on LifeCycleStatusCode (confirmed real/populated: excludes Paid=12, Canceled=9, Voided=7) - 265/458 open"
COMPLETED,9 / 51,Open Vendor Bills / Vendor Bills,Accounts / Purchase,Transaction,Yes,khsupplierinvoice,SellerPartyCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/khsupplierinvoice/SellerPartyCollection,3256,3,khsupplierinvoice__SellerPartyCollection.json,account.move,account_move_open_vendor.csv,265,7,PartyID=70000,"REAL DATA: same khsupplierinvoice source as #51, filtered on LifeCycleStatusCode (confirmed real/populated: excludes Paid=12, Canceled=9, Voided=7) - 265/458 open"
COMPLETED,10 / 11,Customer Payments / Vendor Payments,Accounts,Transaction,Optional,khpayment,PaymentCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/khpayment/PaymentCollection,544,35,khpayment__PaymentCollection.json,account.payment,account_payment.csv,544,7,ExternalReference=102; DocumentID=102; DocumentTypeCode=82; DocumentTypeCodeText=Manual Payment,"REAL DATA: khpayment custom service, 544 payments total - customer vs vendor split via partner_type column (looked up against res_partner's customer_rank/supplier_rank), combined with #11 in one account_payment.csv"
COMPLETED,12,Bank Statements,Accounts,Transaction,Optional,khhousebankstatement,HouseBankStatementCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/khhousebankstatement/HouseBankStatementCollection,87,27,khhousebankstatement__HouseBankStatementCollection.json,account.bank.statement,account_bank_statement.csv,87,5,DocumentID=49; Date=/Date(1569888000000)/; ValidityYear=2019; AccountingTransactionDate=/Date(1569888000000)/,"REAL DATA: khhousebankstatement custom service, 87 statements"
