#,Module,Data Type,Data Object,Mandatory,FY25-26,FY24-25,FY23-24,FY22-23,FY21-22,FY20-21
1,Accounts,Master,Chart of Accounts,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Accounts,Master,Taxes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3,Accounts,Master,Fiscal Positions,Optional,Yes,Yes,Yes,Yes,Yes,Yes
4,Accounts,Master,Payment Terms,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,Accounts,Master,Banks,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6,Accounts,Master,Cost Centers,Optional,Yes,Yes,Yes,Yes,Yes,Yes
7,Accounts,Master,Analytic Accounts,Optional,Yes,Yes,Yes,Yes,Yes,Yes
8,Accounts,Transaction,Open Customer Invoices,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,Accounts,Transaction,Open Vendor Bills,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Accounts,Transaction,Customer Payments,Optional,Yes,Yes,Yes,Yes,Yes,Yes
11,Accounts,Transaction,Vendor Payments,Optional,Yes,Yes,Yes,Yes,Yes,Yes
12,Accounts,Transaction,Bank Statements,Optional,Yes,Yes,Yes,Yes,Yes,Yes
13,Accounts,Transaction,Journal Entries,Optional,Yes,Yes,Yes,Yes,Yes,Yes
14,Accounts,Transaction,Fixed Assets,Optional,Yes,Yes,Yes,Yes,Yes,Yes
15,Accounts,Transaction,Asset Depreciation,Optional,Yes,Yes,Yes,Yes,Yes,Yes
16,Common,Master,Attachments/Documents,Optional,Yes,Yes,Yes,Yes,Yes,Yes
17,CRM,Master,Customers,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,CRM,Master,Salespersons,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,CRM,Master,Activities,Optional,Yes,Yes,Yes,Yes,Yes,Yes
20,CRM,Transaction,Opportunities,Optional,Yes,Yes,Yes,Yes,Yes,Yes
21,CRM,Transaction,Open Opportunities,Yes,Yes,Yes,Yes,Yes,Yes,Yes
22,CRM,Transaction,Closed Opportunities,Optional,Yes,Yes,Yes,Yes,Yes,Yes
23,Engineering,Master,Engineering Items,Optional,Yes,Yes,Yes,Yes,Yes,Yes
