Service,Entity Set,Data Source ID,Report Name,Description,URL Path
ana_businessanalytics.svc,ana_reportss,,,,sap/byd/odata/ana_businessanalytics.svc/ana_reportss
ana_businessanalytics.svc,codelist_ana_reports_icons,,,,sap/byd/odata/ana_businessanalytics.svc/codelist_ana_reports_icons
ana_businessanalytics.svc,codelists,,,,sap/byd/odata/ana_businessanalytics.svc/codelists
ana_businessanalytics_analytics.svc,RPBPCSCARB_Q0001QueryResults,BPCSCARB,Account Collaboration Data,"Provides the collaboration data of an account, including the business document name and the output channel along with data of the related account, such as the account ID, name, and address.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPBPCSCARB_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPBPCSCONTB_Q0001QueryResults,BPCSCONTB,Account Contact Data,"Provides the contacts of a corporate account, including the contact address information and other contact-specific data along with data of the related account, such as the account ID, name, and address.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPBPCSCONTB_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPBPCSFINB_Q0001QueryResults,BPCSFINB,Account Financial Data,"Provides the financial data of an account, including the bank data, payment data, and tax data along with data of the related account, such as the account ID, name, and address.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPBPCSFINB_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPBPCSRSPB_Q0001QueryResults,BPCSRSPB,Account Responsibility Data,"Provides the employees directly responsible for an account, including the employee ID, name, address, and the party role along with data of the related account, such as the account ID, name, and address.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPBPCSRSPB_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPBPCSRSPEMPTERM_Q0001QueryResults,BPCSRSPEMPTERM,Acc Term Empl,Account with terminated employee responsible,sap/byd/odata/ana_businessanalytics_analytics.svc/RPBPCSRSPEMPTERM_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPBPSP_PRD_CAT_LIFE_Q00001QueryResults,BPSP_PRD_CAT_LIFE,Supplier Product Category Lifecycle,"Provides details of supplier product category lifecycle data, such as product category, enagement status, market segementation and validity periods.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPBPSP_PRD_CAT_LIFE_Q00001QueryResults
ana_businessanalytics_analytics.svc,RPBUPAADDRESSSNAPSHOT_Q0001QueryResults,BUPAADDRESSSNAPSHOT,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPBUPAADDRESSSNAPSHOT_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPBUPABANKDETAILS_Q0001QueryResults,BUPABANKDETAILS,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPBUPABANKDETAILS_Q0001QueryResults
